カラム,アイテム名,回答タイプ,カテゴリ数,質問文A,質問文B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
17~50,Q7,MA,34,,良かった記事を選んでください。（３つまで）,P005　世界で一番マツダを愛する男・寺田陽次郎からのメッセージ,P006　マツダで行く日本の絶景ルート［NAロードスター×大山環状道路］,P014　MFB TOPICS　MAZDA3/CX-30にターボパワーは必要か？,P016　世界一かっこいいRX-VISION GT3 CONCEPTを創る リバリーデザインコンテスト,P024　［巻頭特集］マイルドハイブリッドが先行登場MX-30 4つの価値,P026　マツダに乗って旅に出よう CX-30全エンジンタイプ乗り比べ［長野／山形］,P038　マツダに乗って旅に出よう マツダ3 SKYACTIV-X vs ロードスターRF［広島］,P042　ディーゼル、ガソリン、X、どれがベスト？　エンジン選びの新基準,P046　新世代ディーゼルメンテナンスマニュアル,P050　マツダ100周年の今！　ヘリテージカーパレードラン,P054　100周年特別記念車を見に行こう ロードスターRF、マツダ3ファストバック、CX-8,P058　魂動デザイン10年の歩み,P062　マツダとともに45年！ アウトドアの達人がすすめるルーフボックス活用術,P064　ロードスター“最旬”ニュース　RCOJ　ロードスター展,P065　メディア対抗ロードスター4時間耐久レース,P066　 SPECIAL INTERVIEW 古澤 巌［僕がパーティーレースに挑戦した理由］,P068　 ロードスターパーティレースⅢ,P070　マツダサーキットトライアルで戦う2台のCX-5とベリーサ！,P072　［RSファクトリーステージ］メカニック冥利に尽きる瞬間！,P074　再開のIMSAデイトナ240で1-2フィニッシュ！,P076　［NOPROデミオSK-Dが富士24時間レースで優勝,P078　［村上モータース］24時間3連覇の偉業は逃すも手応え十分,P080　スーパー耐久　富士24H　マツダ車戦記,P082　読者プレゼント,P084　MAZDA FACTFULNESS データから読み解くマツダ車の真実,P090　新製品＆NEWS,P094　マツダオールラインナッププライスリスト,P099　TUNING & DRESS UP　BLITZ MAZDA3 FASTBACK,P100　VARY VALIANT CX-30,P102　RAYS 切削技術で拡がる“表現の自由”。,P104　gram LIGHTS 57Trancend UNLIMIT EDITION ＆ gram LIGHTS 57FXM,P106　AutoExe BP-06,P109　あなたのマツダを彩るこだわりグッズ,P110　写真家 麻生祥代 生命の息吹 vol.004 「人とクルマが心を通わす秋の休日」
51~84,Q8,MA,34,,興味のなかった記事を選んでください。（３つまで）,P005　世界で一番マツダを愛する男・寺田陽次郎からのメッセージ,P006　マツダで行く日本の絶景ルート［NAロードスター×大山環状道路］,P014　MFB TOPICS　MAZDA3/CX-30にターボパワーは必要か？,P016　世界一かっこいいRX-VISION GT3 CONCEPTを創る リバリーデザインコンテスト,P024　［巻頭特集］マイルドハイブリッドが先行登場MX-30 4つの価値,P026　マツダに乗って旅に出よう CX-30全エンジンタイプ乗り比べ［長野／山形］,P038　マツダに乗って旅に出よう マツダ3 SKYACTIV-X vs ロードスターRF［広島］,P042　ディーゼル、ガソリン、X、どれがベスト？　エンジン選びの新基準,P046　新世代ディーゼルメンテナンスマニュアル,P050　マツダ100周年の今！　ヘリテージカーパレードラン,P054　100周年特別記念車を見に行こう ロードスターRF、マツダ3ファストバック、CX-8,P058　魂動デザイン10年の歩み,P062　マツダとともに45年！ アウトドアの達人がすすめるルーフボックス活用術,P064　ロードスター“最旬”ニュース　RCOJ　ロードスター展,P065　メディア対抗ロードスター4時間耐久レース,P066　 SPECIAL INTERVIEW 古澤 巌［僕がパーティーレースに挑戦した理由］,P068　 ロードスターパーティレースⅢ,P070　マツダサーキットトライアルで戦う2台のCX-5とベリーサ！,P072　［RSファクトリーステージ］メカニック冥利に尽きる瞬間！,P074　再開のIMSAデイトナ240で1-2フィニッシュ！,P076　［NOPROデミオSK-Dが富士24時間レースで優勝,P078　［村上モータース］24時間3連覇の偉業は逃すも手応え十分,P080　スーパー耐久　富士24H　マツダ車戦記,P082　読者プレゼント,P084　MAZDA FACTFULNESS データから読み解くマツダ車の真実,P090　新製品＆NEWS,P094　マツダオールラインナッププライスリスト,P099　TUNING & DRESS UP　BLITZ MAZDA3 FASTBACK,P100　VARY VALIANT CX-30,P102　RAYS 切削技術で拡がる“表現の自由”。,P104　gram LIGHTS 57Trancend UNLIMIT EDITION ＆ gram LIGHTS 57FXM,P106　AutoExe BP-06,P109　あなたのマツダを彩るこだわりグッズ,P110　写真家 麻生祥代 生命の息吹 vol.004 「人とクルマが心を通わす秋の休日」
85~92,Q9,MA,8,,マツダ車の魅力はどんなところにあると思いますか,洗練されたデザイン,質感の高いインテリア,「走る歓び」が感じられる走行性能,安心して乗れる安全性,快適性利便性の高い装備,コストパフォーマンスに優れた価格,充実したディーラーのサービス,その他（具体的に）
93,Q9_8FA,FA,,,Q9_8 その他（具体的に）【　　　】
94~101,Q10,MA,8,,逆に満足していない部分、改善してほしいところはどこですか,デザイン,インテリア,走行性能,安全性,装備,価格,サービス,その他
102,Q11S1FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,デザイン【　　　】
103,Q11S2FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,インテリア【　　　】
104,Q11S3FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,走行性能【　　　】
105,Q11S4FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,安全性【　　　】
106,Q11S5FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,装備【　　　】
107,Q11S6FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,価格【　　　】
108,Q11S7FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,サービス【　　　】
109,Q11S8FA,FA,,Q10（マツダ車に満足していない部分、改善してほしいところ）で選んだ項目について 具体的な要望があればご記入ください（自由回答）,その他【　　　】
110,Q12S1FA,FA,,定期的、あるいは不定期で購入している雑誌はありますか（クルマ雑誌以外も可）,定期的に購入している雑誌名【　　　】
111,Q12S2FA,FA,,定期的、あるいは不定期で購入している雑誌はありますか（クルマ雑誌以外も可）,不定期で購入している雑誌名【　　　】
112,Q13S1FA,FA,, あなたが所有しているクルマの車名とグレード、年式を教えてください また、今後購入したい車種があれば、その車名とグレードを教えてください ,所有しているクルマ（車名・グレード／年式）【　　　】
113,Q13S2FA,FA,, あなたが所有しているクルマの車名とグレード、年式を教えてください また、今後購入したい車種があれば、その車名とグレードを教えてください ,欲しいクルマ（車名・グレード／年式）【　　　】
114,Q14S1FA,FA,,あなたが所有しているクルマの魅力、またはそのクルマを購入しようと 思った理由を教えてください。,理由【　　　】
115,Q15S1FA,FA,,本誌に対する、ご意見、ご要望、ご質問がございましたら、ご記入ください,ご意見・ご要望・ご質問【　　　】
116,Q16,SA,8,,希望するプレゼントをひとつお選びください プレゼントは抽選となりますのでご了承ください,エース技研 創業50周年記念オリジナルトミカ NDロードスター　3名様,マツダ 100th Anniv. コースター　3名様,マツダ 100th Anniv. バッグハンガー　3名様,RAYS オフィシャル コンパクトワンタッチアンブレラ　1名様,RAYS オフィシャル ハンドタオル・オリジナルうちわ・Pumaコラボジムサックセット　1名様,RAYS マスクケース&マスクセット　1名様,熊野筆ストラップ　各1名様,ロードスター 手作りクロック　1名様
117,Q17S1FA,FA,,お手数ですが、以下の項目をお書きください。,お名前【　　　】
118,Q17S2FA,FA,,お手数ですが、以下の項目をお書きください。,ふりがな【　　　】
119,Q17S3FA,FA,,お手数ですが、以下の項目をお書きください。,職業【　　　】
120,Q17S4N,N,,お手数ですが、以下の項目をお書きください。,郵便番号(ハイフン不要)【　　　】
121,Q17S5FA,FA,,お手数ですが、以下の項目をお書きください。,住所【　　　】
122,Q17S6N,N,,お手数ですが、以下の項目をお書きください。,電話番号(ハイフン不要)【　　　】
123,Q17S7FA,FA,,お手数ですが、以下の項目をお書きください。,メールアドレス【　　　】
124~124,Q18,MA,1,,いただいたアンケートの中で記述式の回答については本誌に掲載することがあります。 掲載を望まれない方は以下にチェックを入れてください。,意見などの本誌掲載を許可しません
