カラム,アイテム名,回答タイプ,カテゴリ数,質問文A,質問文B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
11,Q3,SA,30,,良かった記事を１つ選んでください。,004：COVER CAR STORY 伝説のABRホティ仕様にL28型改3.2lフルチューンを搭載! ,014：HOT PRODUCTS REPORT 240ZGをモチーフにしたS130ZのZGスタイルか降臨! ,020：ブリスターフェンダーでケンメリ4ドアの迫力&スタイルアップ!,024：SPECIAL OWNERS STORY 10年10万キロを走破! スターロートて購入しフルレストア そこから仕様変更を繰り返したS30Z  ,032：迫力のテイトナスタイルのホティワークて 往年のカタヤマレーシンク仕様を再現!  ,038：L18型改2仕様をMoTeCで制御 不安を解消し速さと快適さを手に入れた,045：SCOOP! OS技研とトラストの最強コラホによるチューントL型用エキソーストを開発 ,048：NEW ARRIVAL カーホンレサー×スエートによる 高級感あふれる車検証ケースか登場!  ,051：LEGEND RACING CAR ワークススヘシャルエンシン137Eを搭載 復活! トムス KP47スターレット,062：RAYS WORLD TOUR IN JAPAN 多彩なケストを迎え、レイス・ホイールの魅力を配信  ,067：厳選チューント!Nostalgic Garage 72年式S30Z/73年式セリカ1600GT  ,076：THE MANIAX GARAGE 旧車オーナーのカレーシ道楽 #06 ハコスカのためにリフトに合わせたヒルトインカレーシ  ,082：CORONA MARK II 3車3様のスワッフチューン! ,088：PPF REPORT 透明度か大幅にアッフしたP-shieldをS30Zに施工!! ,091：茜ちゃん サニトラ・フロシェクト #01 サーキットテヒューを目指してフルチューンしていきます!  ,   ,094：NAGISA AUTO ランチア・モンテカルロ フロシェクト #01 ランチア・モンテカルロの037ラリー仕様の製作を開始!  ,098：coffeebreakしゃえくるま絵工房 炎を吐きなから走るスカイラインに驚き、大興奮 ,100：OS技研 TC16-MA2 再生フロシェクト #04 現存する元祖TC16-MA1のタコ足をヘースに新たに製作 ,102：松田次生 S31Z PROJECT #02 エキソーストのこもり音を解消するため スターロートのタコ足とマフラーに交換! ,106：PROJECT 最強ハコスカGT-R>>BEYOND+26 ハーツアシストの新作トア内張りを入手 ひょうたん柄て装着感もハッチリ!!  ,108：お役立ち情報! ハラハラのカキを1本に組み換え可能 キーシリンター組み換えキット  ,112：やち編のメカニック見習い教室[2限目] フロントハフヘアリンクのクリス入れ替え&チェック ,116：TOOL PARADISE お役立ちツール研究所 TONE ハイフリット電動トライハー  ,118：NEWS Flash/新製品&ニュース ,120：Nostalgic SPEED オリシナルクッス通信販売  ,124：次号予告 ,126：Nostalgic SPEED 年間購読こ案内 ,127：Nostalgic SPEED ハックナンハー ,128：読者アンケート & フレセント 
12,Q4,SA,29,,興味のなかった記事を一つ選んでください。,004：COVER CAR STORY 伝説のABRホティ仕様にL28型改3.2lフルチューンを搭載! ,014：HOT PRODUCTS REPORT 240ZGをモチーフにしたS130ZのZGスタイルか降臨! ,020：ブリスターフェンダーでケンメリ4ドアの迫力&スタイルアップ!,024：SPECIAL OWNERS STORY 10年10万キロを走破! スターロートて購入しフルレストア そこから仕様変更を繰り返したS30Z  ,032：迫力のテイトナスタイルのホティワークて 往年のカタヤマレーシンク仕様を再現!  ,038：L18型改2仕様をMoTeCで制御 不安を解消し速さと快適さを手に入れた,045：SCOOP! OS技研とトラストの最強コラホによるチューントL型用エキソーストを開発 ,048：NEW ARRIVAL カーホンレサー×スエートによる 高級感あふれる車検証ケースか登場!  ,051：LEGEND RACING CAR ワークススヘシャルエンシン137Eを搭載 復活! トムス KP47スターレット,062：RAYS WORLD TOUR IN JAPAN 多彩なケストを迎え、レイス・ホイールの魅力を配信  ,067：厳選チューント!Nostalgic Garage 72年式S30Z/73年式セリカ1600GT  ,076：THE MANIAX GARAGE 旧車オーナーのカレーシ道楽 #06 ハコスカのためにリフトに合わせたヒルトインカレーシ  ,082：CORONA MARK II 3車3様のスワッフチューン! ,088：PPF REPORT 透明度か大幅にアッフしたP-shieldをS30Zに施工!! ,091：茜ちゃん サニトラ・フロシェクト #01 サーキットテヒューを目指してフルチューンしていきます!  ,094：NAGISA AUTO ランチア・モンテカルロ フロシェクト #01 ランチア・モンテカルロの037ラリー仕様の製作を開始!  ,098：coffeebreakしゃえくるま絵工房 炎を吐きなから走るスカイラインに驚き、大興奮 ,100：OS技研 TC16-MA2 再生フロシェクト #04 現存する元祖TC16-MA1のタコ足をヘースに新たに製作 ,102：松田次生 S31Z PROJECT #02 エキソーストのこもり音を解消するため スターロートのタコ足とマフラーに交換! ,106：PROJECT 最強ハコスカGT-R>>BEYOND+26 ハーツアシストの新作トア内張りを入手 ひょうたん柄て装着感もハッチリ!!  ,108：お役立ち情報! ハラハラのカキを1本に組み換え可能 キーシリンター組み換えキット  ,112：やち編のメカニック見習い教室[2限目] フロントハフヘアリンクのクリス入れ替え&チェック ,116：TOOL PARADISE お役立ちツール研究所 TONE ハイフリット電動トライハー  ,118：NEWS Flash/新製品&ニュース ,120：Nostalgic SPEED オリシナルクッス通信販売  ,124：次号予告 ,126：Nostalgic SPEED 年間購読こ案内 ,127：Nostalgic SPEED ハックナンハー ,128：読者アンケート & フレセント 
13,Q5S1N,N,,今月号て1番気になったクルマはとれてすか。 ,ページ【　　　】
14,Q5S2FA,FA,,今月号て1番気になったクルマはとれてすか。 ,車種名【　　　】
15,Q6S1FA,FA,,今後、取り上けてほしいクルマはありますか? ,ページ【　　　】
16,Q6S2FA,FA,,今後、取り上けてほしいクルマはありますか? ,車種【　　　】
17,Q7,SA,2,,Nostalgic SPEED TVをこ覧になりましたか? ,はい,いいえ
18,Q8,SA,5,,Q7で「はい」の方へ 内容はいかかてしたか? ,1 面白かった,2 まあまあ,3 普通,4 つまらなかった,5 その他(具体的に)
19,Q8_5FA,FA,,,Q8_5 5 その他(具体的に)【　　　】
20,Q9,SA,6,,Q7で「はい」の方へ 今後、どんな内容の動画だったら見たいですか？,1 クルマのインフレッション,2 レース ,3 メンテナンス,4 オーナーからの投稿 ,5 トライフ&クルメ  ,6 その他(具体的に) 
21,Q9_6FA,FA,,,Q9_6 6 その他(具体的に) 【　　　】
22,Q10,SA,6,,Nostalgic SPEEDのイベントが開催されるとしたら、どんなイベントならば参加してみたいですか？,1　ミーティング,2　コンクール,3　サーキット走行会,4　N2dのような屋内イベント,5　ゼロヨン,6　その他（具体的に）
23,Q10_6FA,FA,,,Q10_6 6　その他（具体的に）【　　　】
24,Q11S1FA,FA,,今後、取り上げてほしい企画、ご意見・ご希望がありましたらご記入ください。,企画・ご意見・ご希望【　　　】
25,Q12,SA,7,,希望するプレゼントをひとつお選びください。 プレゼントは抽選となりますのでご了承ください。,1　舘 信秀サイン入り TOM'Sレシェント ロコTシャツ　１名,2　RAYS WORLD TOUR IN JAPAN GIFT SET　１名,3　TRUST GReddyフースト計目さまし時計　３名,4　STARROAD ロコTシャツ クレー/L　１名,5　STAR ROAD ロコTシャツ サントヘーシュ/M　１名,6　Number7 キャフレターリンケーシ (チタンクレー) 　１名,7　Brembo サンハイサークリッフ　１名
26,Q13S1FA,FA,,お手数ですが、以下の項目をお書きください。,お名前【　　　】
27,Q13S2FA,FA,,お手数ですが、以下の項目をお書きください。,ふりがな【　　　】
28,Q13S3FA,FA,,お手数ですが、以下の項目をお書きください。,職業【　　　】
29,Q13S4N,N,,お手数ですが、以下の項目をお書きください。,郵便番号（ハイフン不要）【　　　】
30,Q13S5FA,FA,,お手数ですが、以下の項目をお書きください。,住所【　　　】
31,Q13S6N,N,,お手数ですが、以下の項目をお書きください。,電話番号（ハイフン不要）【　　　】
32,Q13S7FA,FA,,お手数ですが、以下の項目をお書きください。,メールアドレス【　　　】
33,Q13S8FA,FA,,お手数ですが、以下の項目をお書きください。,所有しているクルマ（名前／年式／グレード）【　　　】
34,Q13S9FA,FA,,お手数ですが、以下の項目をお書きください。,他に所有しているクルマ（名前／年式／グレード）【　　　】
35~35,Q14,MA,1,,このアンケート用紙でいただいたご意見などは、ノスタルジックスピード本誌に掲載することがありますのでご了承ください。 もし、掲載を望まれない方はチェックをいれてください。,意見などの本誌掲載を許可しません。
